INFO:     Will watch for changes in these directories: ['/home/niko/Proyectos/C_sol/Vyntra/backend']
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
INFO:     Started reloader process [7084] using WatchFiles
INFO:     Started server process [7144]
INFO:     Waiting for application startup.
[2026-06-08 11:27:10,309] INFO siee.core | siee core booting (Supabase)
[2026-06-08 11:27:10,380] DEBUG httpcore.connection | connect_tcp.started host='fpombaziyombczyfdryt.supabase.co' port=443 local_address=None timeout=120 socket_options=None
[2026-06-08 11:27:10,394] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:10,592] DEBUG httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f9006016120>
[2026-06-08 11:27:10,593] DEBUG httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x7f90067e39b0> server_hostname='fpombaziyombczyfdryt.supabase.co' timeout=120
[2026-06-08 11:27:10,732] DEBUG httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f900600ac10>
[2026-06-08 11:27:10,733] DEBUG httpcore.http2 | send_connection_init.started request=<Request [b'GET']>
[2026-06-08 11:27:10,735] DEBUG httpcore.http2 | send_connection_init.complete
[2026-06-08 11:27:10,737] DEBUG httpcore.http2 | send_request_headers.started request=<Request [b'GET']> stream_id=1
[2026-06-08 11:27:10,738] DEBUG hpack.hpack | Adding (b':method', b'GET') to the header table, sensitive:False, huffman:True
[2026-06-08 11:27:10,739] DEBUG hpack.hpack | Encoding 2 with 7 bits
[2026-06-08 11:27:10,739] DEBUG hpack.hpack | Adding (b':authority', b'fpombaziyombczyfdryt.supabase.co') to the header table, sensitive:False, huffman:True
[2026-06-08 11:27:10,740] DEBUG hpack.hpack | Encoding 1 with 6 bits
[2026-06-08 11:27:10,740] DEBUG hpack.hpack | Encoding 23 with 7 bits
[2026-06-08 11:27:10,740] DEBUG hpack.hpack | Adding (b':scheme', b'https') to the header table, sensitive:False, huffman:True
[2026-06-08 11:27:10,741] DEBUG hpack.hpack | Encoding 7 with 7 bits
[2026-06-08 11:27:10,741] DEBUG hpack.hpack | Adding (b':path', b'/rest/v1/profiles?select=id&limit=1') to the header table, sensitive:False, huffman:True
[2026-06-08 11:27:10,741] DEBUG hpack.hpack | Encoding 4 with 6 bits
[2026-06-08 11:27:10,742] DEBUG hpack.hpack | Encoding 25 with 7 bits
[2026-06-08 11:27:10,742] DEBUG hpack.hpack | Adding (b'accept', b'*/*') to the header table, sensitive:False, huffman:True
[2026-06-08 11:27:10,742] DEBUG hpack.hpack | Encoding 19 with 6 bits
[2026-06-08 11:27:10,743] DEBUG hpack.hpack | Encoding 3 with 7 bits
[2026-06-08 11:27:10,743] DEBUG hpack.hpack | Adding (b'accept-encoding', b'gzip, deflate, zstd') to the header table, sensitive:False, huffman:True
[2026-06-08 11:27:10,744] DEBUG hpack.hpack | Encoding 16 with 6 bits
[2026-06-08 11:27:10,744] DEBUG hpack.hpack | Encoding 15 with 7 bits
[2026-06-08 11:27:10,745] DEBUG hpack.hpack | Adding (b'user-agent', b'python-httpx/0.28.1') to the header table, sensitive:False, huffman:True
[2026-06-08 11:27:10,745] DEBUG hpack.hpack | Encoding 58 with 6 bits
[2026-06-08 11:27:10,746] DEBUG hpack.hpack | Encoding 14 with 7 bits
[2026-06-08 11:27:10,746] DEBUG hpack.hpack | Adding (b'x-client-info', b'supabase-py/2.30.1') to the header table, sensitive:False, huffman:True
[2026-06-08 11:27:10,746] DEBUG hpack.hpack | Encoding 10 with 7 bits
[2026-06-08 11:27:10,747] DEBUG hpack.hpack | Encoding 13 with 7 bits
[2026-06-08 11:27:10,747] DEBUG hpack.hpack | Adding (b'x-supabase-client-platform', b'Linux') to the header table, sensitive:False, huffman:True
[2026-06-08 11:27:10,747] DEBUG watchfiles.main | 1 change detected: {(<Change.modified: 2>, '/home/niko/Proyectos/C_sol/Vyntra/backend/nohup.out')}
[2026-06-08 11:27:10,748] DEBUG hpack.hpack | Encoding 19 with 7 bits
[2026-06-08 11:27:10,748] DEBUG hpack.hpack | Encoding 4 with 7 bits
[2026-06-08 11:27:10,748] DEBUG hpack.hpack | Adding (b'x-supabase-client-platform-version', b'7.0.11-1-cachyos-bore') to the header table, sensitive:False, huffman:True
[2026-06-08 11:27:10,749] DEBUG hpack.hpack | Encoding 24 with 7 bits
[2026-06-08 11:27:10,749] DEBUG hpack.hpack | Encoding 15 with 7 bits
